state_name,electors
Alabama,9
Montana,3
Alaska,3
Nebraska,5
Arizona,11
Nevada,6
Arkansas,6
New Hampshire,4
California,55
New Jersey,14
Colorado,9
New Mexico,5
Connecticut,7
New York,29
Delaware,3
North Carolina,15
District of Columbia,3
North Dakota,3
Florida,29
Ohio,18
Georgia,16
Oklahoma,7
Hawaii,4
Oregon,7
Idaho,4
Pennsylvania,20
Illinois,20
Rhode Island,4
Indiana,11
South Carolina,9
Iowa,6
South Dakota,3
Kansas,6
Tennessee,11
Kentucky,8
Texas,38
Louisiana,8
Utah,6
Maine,4
Vermont,3
Maryland,10
Virginia,13
Massachusetts,11
Washington,12
Michigan,16
West Virginia,5
Minnesota,10
Wisconsin,10
Mississippi,6
Wyoming,3
Missouri,10
